# emoji	group	subgroup	name	keywords
👩🏼‍🦼‍➡️	People & Body	person-activity	woman in motorized wheelchair facing right: medium-light skin tone	woman in motorized wheelchair facing right: medium-light skin tone
👩🏽‍🦼‍➡️	People & Body	person-activity	woman in motorized wheelchair facing right: medium skin tone	woman in motorized wheelchair facing right: medium skin tone
👩🏾‍🦼‍➡️	People & Body	person-activity	woman in motorized wheelchair facing right: medium-dark skin tone	woman in motorized wheelchair facing right: medium-dark skin tone
👩🏿‍🦼‍➡️	People & Body	person-activity	woman in motorized wheelchair facing right: dark skin tone	woman in motorized wheelchair facing right: dark skin tone
🧑‍🦽	People & Body	person-activity	person in manual wheelchair	person in manual wheelchair,accessibility,manual,person,wheelchair
🧑🏻‍🦽	People & Body	person-activity	person in manual wheelchair: light skin tone	person in manual wheelchair: light skin tone
🧑🏼‍🦽	People & Body	person-activity	person in manual wheelchair: medium-light skin tone	person in manual wheelchair: medium-light skin tone
🧑🏽‍🦽	People & Body	person-activity	person in manual wheelchair: medium skin tone	person in manual wheelchair: medium skin tone
🧑🏾‍🦽	People & Body	person-activity	person in manual wheelchair: medium-dark skin tone	person in manual wheelchair: medium-dark skin tone
🧑🏿‍🦽	People & Body	person-activity	person in manual wheelchair: dark skin tone	person in manual wheelchair: dark skin tone
🧑‍🦽‍➡️	People & Body	person-activity	person in manual wheelchair facing right	person in manual wheelchair facing right
🧑🏻‍🦽‍➡️	People & Body	person-activity	person in manual wheelchair facing right: light skin tone	person in manual wheelchair facing right: light skin tone
🧑🏼‍🦽‍➡️	People & Body	person-activity	person in manual wheelchair facing right: medium-light skin tone	person in manual wheelchair facing right: medium-light skin tone
🧑🏽‍🦽‍➡️	People & Body	person-activity	person in manual wheelchair facing right: medium skin tone	person in manual wheelchair facing right: medium skin tone
🧑🏾‍🦽‍➡️	People & Body	person-activity	person in manual wheelchair facing right: medium-dark skin tone	person in manual wheelchair facing right: medium-dark skin tone
🧑🏿‍🦽‍➡️	People & Body	person-activity	person in manual wheelchair facing right: dark skin tone	person in manual wheelchair facing right: dark skin tone
👨‍🦽	People & Body	person-activity	man in manual wheelchair	man in manual wheelchair,accessibility,man,manual,wheelchair
👨🏻‍🦽	People & Body	person-activity	man in manual wheelchair: light skin tone	man in manual wheelchair: light skin tone
👨🏼‍🦽	People & Body	person-activity	man in manual wheelchair: medium-light skin tone	man in manual wheelchair: medium-light skin tone
👨🏽‍🦽	People & Body	person-activity	man in manual wheelchair: medium skin tone	man in manual wheelchair: medium skin tone
👨🏾‍🦽	People & Body	person-activity	man in manual wheelchair: medium-dark skin tone	man in manual wheelchair: medium-dark skin tone
👨🏿‍🦽	People & Body	person-activity	man in manual wheelchair: dark skin tone	man in manual wheelchair: dark skin tone
👨‍🦽‍➡️	People & Body	person-activity	man in manual wheelchair facing right	man in manual wheelchair facing right
👨🏻‍🦽‍➡️	People & Body	person-activity	man in manual wheelchair facing right: light skin tone	man in manual wheelchair facing right: light skin tone
👨🏼‍🦽‍➡️	People & Body	person-activity	man in manual wheelchair facing right: medium-light skin tone	man in manual wheelchair facing right: medium-light skin tone
👨🏽‍🦽‍➡️	People & Body	person-activity	man in manual wheelchair facing right: medium skin tone	man in manual wheelchair facing right: medium skin tone
👨🏾‍🦽‍➡️	People & Body	person-activity	man in manual wheelchair facing right: medium-dark skin tone	man in manual wheelchair facing right: medium-dark skin tone
👨🏿‍🦽‍➡️	People & Body	person-activity	man in manual wheelchair facing right: dark skin tone	man in manual wheelchair facing right: dark skin tone
👩‍🦽	People & Body	person-activity	woman in manual wheelchair	woman in manual wheelchair,accessibility,manual,wheelchair,woman
👩🏻‍🦽	People & Body	person-activity	woman in manual wheelchair: light skin tone	woman in manual wheelchair: light skin tone
👩🏼‍🦽	People & Body	person-activity	woman in manual wheelchair: medium-light skin tone	woman in manual wheelchair: medium-light skin tone
👩🏽‍🦽	People & Body	person-activity	woman in manual wheelchair: medium skin tone	woman in manual wheelchair: medium skin tone
👩🏾‍🦽	People & Body	person-activity	woman in manual wheelchair: medium-dark skin tone	woman in manual wheelchair: medium-dark skin tone
👩🏿‍🦽	People & Body	person-activity	woman in manual wheelchair: dark skin tone	woman in manual wheelchair: dark skin tone
👩‍🦽‍➡️	People & Body	person-activity	woman in manual wheelchair facing right	woman in manual wheelchair facing right
👩🏻‍🦽‍➡️	People & Body	person-activity	woman in manual wheelchair facing right: light skin tone	woman in manual wheelchair facing right: light skin tone
👩🏼‍🦽‍➡️	People & Body	person-activity	woman in manual wheelchair facing right: medium-light skin tone	woman in manual wheelchair facing right: medium-light skin tone
👩🏽‍🦽‍➡️	People & Body	person-activity	woman in manual wheelchair facing right: medium skin tone	woman in manual wheelchair facing right: medium skin tone
👩🏾‍🦽‍➡️	People & Body	person-activity	woman in manual wheelchair facing right: medium-dark skin tone	woman in manual wheelchair facing right: medium-dark skin tone
👩🏿‍🦽‍➡️	People & Body	person-activity	woman in manual wheelchair facing right: dark skin tone	woman in manual wheelchair facing right: dark skin tone
🏃	People & Body	person-activity	person running	person running,fast,hurry,marathon,move,person,quick,race,racing,run,rush,speed
🏃🏻	People & Body	person-activity	person running: light skin tone	person running: light skin tone
🏃🏼	People & Body	person-activity	person running: medium-light skin tone	person running: medium-light skin tone
🏃🏽	People & Body	person-activity	person running: medium skin tone	person running: medium skin tone
🏃🏾	People & Body	person-activity	person running: medium-dark skin tone	person running: medium-dark skin tone
🏃🏿	People & Body	person-activity	person running: dark skin tone	person running: dark skin tone
🏃‍♂️	People & Body	person-activity	man running	man running
🏃🏻‍♂️	People & Body	person-activity	man running: light skin tone	man running: light skin tone
🏃🏼‍♂️	People & Body	person-activity	man running: medium-light skin tone	man running: medium-light skin tone
🏃🏽‍♂️	People & Body	person-activity	man running: medium skin tone	man running: medium skin tone
🏃🏾‍♂️	People & Body	person-activity	man running: medium-dark skin tone	man running: medium-dark skin tone
🏃🏿‍♂️	People & Body	person-activity	man running: dark skin tone	man running: dark skin tone
🏃‍♀️	People & Body	person-activity	woman running	woman running
🏃🏻‍♀️	People & Body	person-activity	woman running: light skin tone	woman running: light skin tone
🏃🏼‍♀️	People & Body	person-activity	woman running: medium-light skin tone	woman running: medium-light skin tone
🏃🏽‍♀️	People & Body	person-activity	woman running: medium skin tone	woman running: medium skin tone
🏃🏾‍♀️	People & Body	person-activity	woman running: medium-dark skin tone	woman running: medium-dark skin tone
🏃🏿‍♀️	People & Body	person-activity	woman running: dark skin tone	woman running: dark skin tone
🏃‍➡️	People & Body	person-activity	person running facing right	person running facing right
🏃🏻‍➡️	People & Body	person-activity	person running facing right: light skin tone	person running facing right: light skin tone
🏃🏼‍➡️	People & Body	person-activity	person running facing right: medium-light skin tone	person running facing right: medium-light skin tone
🏃🏽‍➡️	People & Body	person-activity	person running facing right: medium skin tone	person running facing right: medium skin tone
🏃🏾‍➡️	People & Body	person-activity	person running facing right: medium-dark skin tone	person running facing right: medium-dark skin tone
🏃🏿‍➡️	People & Body	person-activity	person running facing right: dark skin tone	person running facing right: dark skin tone
🏃‍♀️‍➡️	People & Body	person-activity	woman running facing right	woman running facing right
🏃🏻‍♀️‍➡️	People & Body	person-activity	woman running facing right: light skin tone	woman running facing right: light skin tone
🏃🏼‍♀️‍➡️	People & Body	person-activity	woman running facing right: medium-light skin tone	woman running facing right: medium-light skin tone
🏃🏽‍♀️‍➡️	People & Body	person-activity	woman running facing right: medium skin tone	woman running facing right: medium skin tone
🏃🏾‍♀️‍➡️	People & Body	person-activity	woman running facing right: medium-dark skin tone	woman running facing right: medium-dark skin tone
🏃🏿‍♀️‍➡️	People & Body	person-activity	woman running facing right: dark skin tone	woman running facing right: dark skin tone
🏃‍♂️‍➡️	People & Body	person-activity	man running facing right	man running facing right
🏃🏻‍♂️‍➡️	People & Body	person-activity	man running facing right: light skin tone	man running facing right: light skin tone
🏃🏼‍♂️‍➡️	People & Body	person-activity	man running facing right: medium-light skin tone	man running facing right: medium-light skin tone
🏃🏽‍♂️‍➡️	People & Body	person-activity	man running facing right: medium skin tone	man running facing right: medium skin tone
🏃🏾‍♂️‍➡️	People & Body	person-activity	man running facing right: medium-dark skin tone	man running facing right: medium-dark skin tone
🏃🏿‍♂️‍➡️	People & Body	person-activity	man running facing right: dark skin tone	man running facing right: dark skin tone
🧑‍🩰	People & Body	person-activity	ballet dancer	ballet dancer,ballet,dancer
🧑🏻‍🩰	People & Body	person-activity	ballet dancer: light skin tone	ballet dancer: light skin tone
🧑🏼‍🩰	People & Body	person-activity	ballet dancer: medium-light skin tone	ballet dancer: medium-light skin tone
🧑🏽‍🩰	People & Body	person-activity	ballet dancer: medium skin tone	ballet dancer: medium skin tone
🧑🏾‍🩰	People & Body	person-activity	ballet dancer: medium-dark skin tone	ballet dancer: medium-dark skin tone
🧑🏿‍🩰	People & Body	person-activity	ballet dancer: dark skin tone	ballet dancer: dark skin tone
💃	People & Body	person-activity	woman dancing	woman dancing,dance,dancer,dancing,elegant,festive,flair,flamenco,groove,let’s,salsa,tango,woman
💃🏻	People & Body	person-activity	woman dancing: light skin tone	woman dancing: light skin tone
💃🏼	People & Body	person-activity	woman dancing: medium-light skin tone	woman dancing: medium-light skin tone
💃🏽	People & Body	person-activity	woman dancing: medium skin tone	woman dancing: medium skin tone
💃🏾	People & Body	person-activity	woman dancing: medium-dark skin tone	woman dancing: medium-dark skin tone
💃🏿	People & Body	person-activity	woman dancing: dark skin tone	woman dancing: dark skin tone
🕺	People & Body	person-activity	man dancing	man dancing,dance,dancer,dancing,elegant,festive,flair,flamenco,groove,let’s,man,salsa,tango
🕺🏻	People & Body	person-activity	man dancing: light skin tone	man dancing: light skin tone
🕺🏼	People & Body	person-activity	man dancing: medium-light skin tone	man dancing: medium-light skin tone
🕺🏽	People & Body	person-activity	man dancing: medium skin tone	man dancing: medium skin tone
🕺🏾	People & Body	person-activity	man dancing: medium-dark skin tone	man dancing: medium-dark skin tone
🕺🏿	People & Body	person-activity	man dancing: dark skin tone	man dancing: dark skin tone
🕴️	People & Body	person-activity	person in suit levitating	person in suit levitating
🕴🏻	People & Body	person-activity	person in suit levitating: light skin tone	person in suit levitating: light skin tone
🕴🏼	People & Body	person-activity	person in suit levitating: medium-light skin tone	person in suit levitating: medium-light skin tone
🕴🏽	People & Body	person-activity	person in suit levitating: medium skin tone	person in suit levitating: medium skin tone
🕴🏾	People & Body	person-activity	person in suit levitating: medium-dark skin tone	person in suit levitating: medium-dark skin tone
🕴🏿	People & Body	person-activity	person in suit levitating: dark skin tone	person in suit levitating: dark skin tone
👯	People & Body	person-activity	people with bunny ears	people with bunny ears,bestie,bff,bunny,counterpart,dancer,double,ear,identical,pair,party,partying,people,soulmate,twin,twinsies
👯🏻	People & Body	person-activity	people with bunny ears: light skin tone	people with bunny ears: light skin tone
👯🏼	People & Body	person-activity	people with bunny ears: medium-light skin tone	people with bunny ears: medium-light skin tone
👯🏽	People & Body	person-activity	people with bunny ears: medium skin tone	people with bunny ears: medium skin tone
👯🏾	People & Body	person-activity	people with bunny ears: medium-dark skin tone	people with bunny ears: medium-dark skin tone
👯🏿	People & Body	person-activity	people with bunny ears: dark skin tone	people with bunny ears: dark skin tone
👯‍♂️	People & Body	person-activity	men with bunny ears	men with bunny ears
👯🏻‍♂️	People & Body	person-activity	men with bunny ears: light skin tone	men with bunny ears: light skin tone
👯🏼‍♂️	People & Body	person-activity	men with bunny ears: medium-light skin tone	men with bunny ears: medium-light skin tone
👯🏽‍♂️	People & Body	person-activity	men with bunny ears: medium skin tone	men with bunny ears: medium skin tone
👯🏾‍♂️	People & Body	person-activity	men with bunny ears: medium-dark skin tone	men with bunny ears: medium-dark skin tone
👯🏿‍♂️	People & Body	person-activity	men with bunny ears: dark skin tone	men with bunny ears: dark skin tone
👯‍♀️	People & Body	person-activity	women with bunny ears	women with bunny ears
👯🏻‍♀️	People & Body	person-activity	women with bunny ears: light skin tone	women with bunny ears: light skin tone
👯🏼‍♀️	People & Body	person-activity	women with bunny ears: medium-light skin tone	women with bunny ears: medium-light skin tone
👯🏽‍♀️	People & Body	person-activity	women with bunny ears: medium skin tone	women with bunny ears: medium skin tone
👯🏾‍♀️	People & Body	person-activity	women with bunny ears: medium-dark skin tone	women with bunny ears: medium-dark skin tone
👯🏿‍♀️	People & Body	person-activity	women with bunny ears: dark skin tone	women with bunny ears: dark skin tone
🧑🏻‍🐰‍🧑🏼	People & Body	person-activity	people with bunny ears: light skin tone, medium-light skin tone	people with bunny ears: light skin tone, medium-light skin tone
🧑🏻‍🐰‍🧑🏽	People & Body	person-activity	people with bunny ears: light skin tone, medium skin tone	people with bunny ears: light skin tone, medium skin tone
🧑🏻‍🐰‍🧑🏾	People & Body	person-activity	people with bunny ears: light skin tone, medium-dark skin tone	people with bunny ears: light skin tone, medium-dark skin tone
🧑🏻‍🐰‍🧑🏿	People & Body	person-activity	people with bunny ears: light skin tone, dark skin tone	people with bunny ears: light skin tone, dark skin tone
🧑🏼‍🐰‍🧑🏻	People & Body	person-activity	people with bunny ears: medium-light skin tone, light skin tone	people with bunny ears: medium-light skin tone, light skin tone
🧑🏼‍🐰‍🧑🏽	People & Body	person-activity	people with bunny ears: medium-light skin tone, medium skin tone	people with bunny ears: medium-light skin tone, medium skin tone
🧑🏼‍🐰‍🧑🏾	People & Body	person-activity	people with bunny ears: medium-light skin tone, medium-dark skin tone	people with bunny ears: medium-light skin tone, medium-dark skin tone
🧑🏼‍🐰‍🧑🏿	People & Body	person-activity	people with bunny ears: medium-light skin tone, dark skin tone	people with bunny ears: medium-light skin tone, dark skin tone
🧑🏽‍🐰‍🧑🏻	People & Body	person-activity	people with bunny ears: medium skin tone, light skin tone	people with bunny ears: medium skin tone, light skin tone
🧑🏽‍🐰‍🧑🏼	People & Body	person-activity	people with bunny ears: medium skin tone, medium-light skin tone	people with bunny ears: medium skin tone, medium-light skin tone
🧑🏽‍🐰‍🧑🏾	People & Body	person-activity	people with bunny ears: medium skin tone, medium-dark skin tone	people with bunny ears: medium skin tone, medium-dark skin tone
🧑🏽‍🐰‍🧑🏿	People & Body	person-activity	people with bunny ears: medium skin tone, dark skin tone	people with bunny ears: medium skin tone, dark skin tone
🧑🏾‍🐰‍🧑🏻	People & Body	person-activity	people with bunny ears: medium-dark skin tone, light skin tone	people with bunny ears: medium-dark skin tone, light skin tone
🧑🏾‍🐰‍🧑🏼	People & Body	person-activity	people with bunny ears: medium-dark skin tone, medium-light skin tone	people with bunny ears: medium-dark skin tone, medium-light skin tone
🧑🏾‍🐰‍🧑🏽	People & Body	person-activity	people with bunny ears: medium-dark skin tone, medium skin tone	people with bunny ears: medium-dark skin tone, medium skin tone
🧑🏾‍🐰‍🧑🏿	People & Body	person-activity	people with bunny ears: medium-dark skin tone, dark skin tone	people with bunny ears: medium-dark skin tone, dark skin tone
🧑🏿‍🐰‍🧑🏻	People & Body	person-activity	people with bunny ears: dark skin tone, light skin tone	people with bunny ears: dark skin tone, light skin tone
🧑🏿‍🐰‍🧑🏼	People & Body	person-activity	people with bunny ears: dark skin tone, medium-light skin tone	people with bunny ears: dark skin tone, medium-light skin tone
🧑🏿‍🐰‍🧑🏽	People & Body	person-activity	people with bunny ears: dark skin tone, medium skin tone	people with bunny ears: dark skin tone, medium skin tone
🧑🏿‍🐰‍🧑🏾	People & Body	person-activity	people with bunny ears: dark skin tone, medium-dark skin tone	people with bunny ears: dark skin tone, medium-dark skin tone
👨🏻‍🐰‍👨🏼	People & Body	person-activity	men with bunny ears: light skin tone, medium-light skin tone	men with bunny ears: light skin tone, medium-light skin tone
👨🏻‍🐰‍👨🏽	People & Body	person-activity	men with bunny ears: light skin tone, medium skin tone	men with bunny ears: light skin tone, medium skin tone
👨🏻‍🐰‍👨🏾	People & Body	person-activity	men with bunny ears: light skin tone, medium-dark skin tone	men with bunny ears: light skin tone, medium-dark skin tone
👨🏻‍🐰‍👨🏿	People & Body	person-activity	men with bunny ears: light skin tone, dark skin tone	men with bunny ears: light skin tone, dark skin tone
👨🏼‍🐰‍👨🏻	People & Body	person-activity	men with bunny ears: medium-light skin tone, light skin tone	men with bunny ears: medium-light skin tone, light skin tone
👨🏼‍🐰‍👨🏽	People & Body	person-activity	men with bunny ears: medium-light skin tone, medium skin tone	men with bunny ears: medium-light skin tone, medium skin tone
👨🏼‍🐰‍👨🏾	People & Body	person-activity	men with bunny ears: medium-light skin tone, medium-dark skin tone	men with bunny ears: medium-light skin tone, medium-dark skin tone
👨🏼‍🐰‍👨🏿	People & Body	person-activity	men with bunny ears: medium-light skin tone, dark skin tone	men with bunny ears: medium-light skin tone, dark skin tone
👨🏽‍🐰‍👨🏻	People & Body	person-activity	men with bunny ears: medium skin tone, light skin tone	men with bunny ears: medium skin tone, light skin tone
👨🏽‍🐰‍👨🏼	People & Body	person-activity	men with bunny ears: medium skin tone, medium-light skin tone	men with bunny ears: medium skin tone, medium-light skin tone
👨🏽‍🐰‍👨🏾	People & Body	person-activity	men with bunny ears: medium skin tone, medium-dark skin tone	men with bunny ears: medium skin tone, medium-dark skin tone
👨🏽‍🐰‍👨🏿	People & Body	person-activity	men with bunny ears: medium skin tone, dark skin tone	men with bunny ears: medium skin tone, dark skin tone
👨🏾‍🐰‍👨🏻	People & Body	person-activity	men with bunny ears: medium-dark skin tone, light skin tone	men with bunny ears: medium-dark skin tone, light skin tone
👨🏾‍🐰‍👨🏼	People & Body	person-activity	men with bunny ears: medium-dark skin tone, medium-light skin tone	men with bunny ears: medium-dark skin tone, medium-light skin tone
👨🏾‍🐰‍👨🏽	People & Body	person-activity	men with bunny ears: medium-dark skin tone, medium skin tone	men with bunny ears: medium-dark skin tone, medium skin tone
👨🏾‍🐰‍👨🏿	People & Body	person-activity	men with bunny ears: medium-dark skin tone, dark skin tone	men with bunny ears: medium-dark skin tone, dark skin tone
👨🏿‍🐰‍👨🏻	People & Body	person-activity	men with bunny ears: dark skin tone, light skin tone	men with bunny ears: dark skin tone, light skin tone
👨🏿‍🐰‍👨🏼	People & Body	person-activity	men with bunny ears: dark skin tone, medium-light skin tone	men with bunny ears: dark skin tone, medium-light skin tone
👨🏿‍🐰‍👨🏽	People & Body	person-activity	men with bunny ears: dark skin tone, medium skin tone	men with bunny ears: dark skin tone, medium skin tone
👨🏿‍🐰‍👨🏾	People & Body	person-activity	men with bunny ears: dark skin tone, medium-dark skin tone	men with bunny ears: dark skin tone, medium-dark skin tone
👩🏻‍🐰‍👩🏼	People & Body	person-activity	women with bunny ears: light skin tone, medium-light skin tone	women with bunny ears: light skin tone, medium-light skin tone
👩🏻‍🐰‍👩🏽	People & Body	person-activity	women with bunny ears: light skin tone, medium skin tone	women with bunny ears: light skin tone, medium skin tone
👩🏻‍🐰‍👩🏾	People & Body	person-activity	women with bunny ears: light skin tone, medium-dark skin tone	women with bunny ears: light skin tone, medium-dark skin tone
👩🏻‍🐰‍👩🏿	People & Body	person-activity	women with bunny ears: light skin tone, dark skin tone	women with bunny ears: light skin tone, dark skin tone
👩🏼‍🐰‍👩🏻	People & Body	person-activity	women with bunny ears: medium-light skin tone, light skin tone	women with bunny ears: medium-light skin tone, light skin tone
👩🏼‍🐰‍👩🏽	People & Body	person-activity	women with bunny ears: medium-light skin tone, medium skin tone	women with bunny ears: medium-light skin tone, medium skin tone
👩🏼‍🐰‍👩🏾	People & Body	person-activity	women with bunny ears: medium-light skin tone, medium-dark skin tone	women with bunny ears: medium-light skin tone, medium-dark skin tone
👩🏼‍🐰‍👩🏿	People & Body	person-activity	women with bunny ears: medium-light skin tone, dark skin tone	women with bunny ears: medium-light skin tone, dark skin tone
👩🏽‍🐰‍👩🏻	People & Body	person-activity	women with bunny ears: medium skin tone, light skin tone	women with bunny ears: medium skin tone, light skin tone
👩🏽‍🐰‍👩🏼	People & Body	person-activity	women with bunny ears: medium skin tone, medium-light skin tone	women with bunny ears: medium skin tone, medium-light skin tone
👩🏽‍🐰‍👩🏾	People & Body	person-activity	women with bunny ears: medium skin tone, medium-dark skin tone	women with bunny ears: medium skin tone, medium-dark skin tone
👩🏽‍🐰‍👩🏿	People & Body	person-activity	women with bunny ears: medium skin tone, dark skin tone	women with bunny ears: medium skin tone, dark skin tone
👩🏾‍🐰‍👩🏻	People & Body	person-activity	women with bunny ears: medium-dark skin tone, light skin tone	women with bunny ears: medium-dark skin tone, light skin tone
👩🏾‍🐰‍👩🏼	People & Body	person-activity	women with bunny ears: medium-dark skin tone, medium-light skin tone	women with bunny ears: medium-dark skin tone, medium-light skin tone
👩🏾‍🐰‍👩🏽	People & Body	person-activity	women with bunny ears: medium-dark skin tone, medium skin tone	women with bunny ears: medium-dark skin tone, medium skin tone
👩🏾‍🐰‍👩🏿	People & Body	person-activity	women with bunny ears: medium-dark skin tone, dark skin tone	women with bunny ears: medium-dark skin tone, dark skin tone
👩🏿‍🐰‍👩🏻	People & Body	person-activity	women with bunny ears: dark skin tone, light skin tone	women with bunny ears: dark skin tone, light skin tone
👩🏿‍🐰‍👩🏼	People & Body	person-activity	women with bunny ears: dark skin tone, medium-light skin tone	women with bunny ears: dark skin tone, medium-light skin tone
👩🏿‍🐰‍👩🏽	People & Body	person-activity	women with bunny ears: dark skin tone, medium skin tone	women with bunny ears: dark skin tone, medium skin tone
👩🏿‍🐰‍👩🏾	People & Body	person-activity	women with bunny ears: dark skin tone, medium-dark skin tone	women with bunny ears: dark skin tone, medium-dark skin tone
🧖	People & Body	person-activity	person in steamy room	person in steamy room,day,luxurious,pamper,person,relax,room,sauna,spa,steam,steambath,unwind
🧖🏻	People & Body	person-activity	person in steamy room: light skin tone	person in steamy room: light skin tone
🧖🏼	People & Body	person-activity	person in steamy room: medium-light skin tone	person in steamy room: medium-light skin tone
🧖🏽	People & Body	person-activity	person in steamy room: medium skin tone	person in steamy room: medium skin tone
🧖🏾	People & Body	person-activity	person in steamy room: medium-dark skin tone	person in steamy room: medium-dark skin tone
🧖🏿	People & Body	person-activity	person in steamy room: dark skin tone	person in steamy room: dark skin tone
🧖‍♂️	People & Body	person-activity	man in steamy room	man in steamy room
🧖🏻‍♂️	People & Body	person-activity	man in steamy room: light skin tone	man in steamy room: light skin tone
🧖🏼‍♂️	People & Body	person-activity	man in steamy room: medium-light skin tone	man in steamy room: medium-light skin tone
🧖🏽‍♂️	People & Body	person-activity	man in steamy room: medium skin tone	man in steamy room: medium skin tone
🧖🏾‍♂️	People & Body	person-activity	man in steamy room: medium-dark skin tone	man in steamy room: medium-dark skin tone
🧖🏿‍♂️	People & Body	person-activity	man in steamy room: dark skin tone	man in steamy room: dark skin tone
🧖‍♀️	People & Body	person-activity	woman in steamy room	woman in steamy room
🧖🏻‍♀️	People & Body	person-activity	woman in steamy room: light skin tone	woman in steamy room: light skin tone
🧖🏼‍♀️	People & Body	person-activity	woman in steamy room: medium-light skin tone	woman in steamy room: medium-light skin tone
🧖🏽‍♀️	People & Body	person-activity	woman in steamy room: medium skin tone	woman in steamy room: medium skin tone
🧖🏾‍♀️	People & Body	person-activity	woman in steamy room: medium-dark skin tone	woman in steamy room: medium-dark skin tone
🧖🏿‍♀️	People & Body	person-activity	woman in steamy room: dark skin tone	woman in steamy room: dark skin tone
🧗	People & Body	person-activity	person climbing	person climbing,climb,climber,climbing,mountain,person,rock,scale,up
🧗🏻	People & Body	person-activity	person climbing: light skin tone	person climbing: light skin tone
🧗🏼	People & Body	person-activity	person climbing: medium-light skin tone	person climbing: medium-light skin tone
🧗🏽	People & Body	person-activity	person climbing: medium skin tone	person climbing: medium skin tone
🧗🏾	People & Body	person-activity	person climbing: medium-dark skin tone	person climbing: medium-dark skin tone
🧗🏿	People & Body	person-activity	person climbing: dark skin tone	person climbing: dark skin tone
🧗‍♂️	People & Body	person-activity	man climbing	man climbing
🧗🏻‍♂️	People & Body	person-activity	man climbing: light skin tone	man climbing: light skin tone
🧗🏼‍♂️	People & Body	person-activity	man climbing: medium-light skin tone	man climbing: medium-light skin tone
🧗🏽‍♂️	People & Body	person-activity	man climbing: medium skin tone	man climbing: medium skin tone
🧗🏾‍♂️	People & Body	person-activity	man climbing: medium-dark skin tone	man climbing: medium-dark skin tone
🧗🏿‍♂️	People & Body	person-activity	man climbing: dark skin tone	man climbing: dark skin tone
🧗‍♀️	People & Body	person-activity	woman climbing	woman climbing
🧗🏻‍♀️	People & Body	person-activity	woman climbing: light skin tone	woman climbing: light skin tone
🧗🏼‍♀️	People & Body	person-activity	woman climbing: medium-light skin tone	woman climbing: medium-light skin tone
🧗🏽‍♀️	People & Body	person-activity	woman climbing: medium skin tone	woman climbing: medium skin tone
🧗🏾‍♀️	People & Body	person-activity	woman climbing: medium-dark skin tone	woman climbing: medium-dark skin tone
🧗🏿‍♀️	People & Body	person-activity	woman climbing: dark skin tone	woman climbing: dark skin tone
🤺	People & Body	person-sport	person fencing	person fencing,fencer,fencing,person,sword
🏇	People & Body	person-sport	horse racing	horse racing,horse,jockey,racehorse,racing,riding,sport
🏇🏻	People & Body	person-sport	horse racing: light skin tone	horse racing: light skin tone
🏇🏼	People & Body	person-sport	horse racing: medium-light skin tone	horse racing: medium-light skin tone
🏇🏽	People & Body	person-sport	horse racing: medium skin tone	horse racing: medium skin tone
🏇🏾	People & Body	person-sport	horse racing: medium-dark skin tone	horse racing: medium-dark skin tone
🏇🏿	People & Body	person-sport	horse racing: dark skin tone	horse racing: dark skin tone
⛷️	People & Body	person-sport	skier	skier
🏂	People & Body	person-sport	snowboarder	snowboarder,ski,snow,snowboard,sport
🏂🏻	People & Body	person-sport	snowboarder: light skin tone	snowboarder: light skin tone
🏂🏼	People & Body	person-sport	snowboarder: medium-light skin tone	snowboarder: medium-light skin tone
🏂🏽	People & Body	person-sport	snowboarder: medium skin tone	snowboarder: medium skin tone
🏂🏾	People & Body	person-sport	snowboarder: medium-dark skin tone	snowboarder: medium-dark skin tone
🏂🏿	People & Body	person-sport	snowboarder: dark skin tone	snowboarder: dark skin tone
🏌️	People & Body	person-sport	person golfing	person golfing
🏌🏻	People & Body	person-sport	person golfing: light skin tone	person golfing: light skin tone
🏌🏼	People & Body	person-sport	person golfing: medium-light skin tone	person golfing: medium-light skin tone
🏌🏽	People & Body	person-sport	person golfing: medium skin tone	person golfing: medium skin tone
🏌🏾	People & Body	person-sport	person golfing: medium-dark skin tone	person golfing: medium-dark skin tone
🏌🏿	People & Body	person-sport	person golfing: dark skin tone	person golfing: dark skin tone
🏌️‍♂️	People & Body	person-sport	man golfing	man golfing
🏌🏻‍♂️	People & Body	person-sport	man golfing: light skin tone	man golfing: light skin tone
🏌🏼‍♂️	People & Body	person-sport	man golfing: medium-light skin tone	man golfing: medium-light skin tone
🏌🏽‍♂️	People & Body	person-sport	man golfing: medium skin tone	man golfing: medium skin tone
🏌🏾‍♂️	People & Body	person-sport	man golfing: medium-dark skin tone	man golfing: medium-dark skin tone
🏌🏿‍♂️	People & Body	person-sport	man golfing: dark skin tone	man golfing: dark skin tone
🏌️‍♀️	People & Body	person-sport	woman golfing	woman golfing
🏌🏻‍♀️	People & Body	person-sport	woman golfing: light skin tone	woman golfing: light skin tone
🏌🏼‍♀️	People & Body	person-sport	woman golfing: medium-light skin tone	woman golfing: medium-light skin tone
🏌🏽‍♀️	People & Body	person-sport	woman golfing: medium skin tone	woman golfing: medium skin tone
🏌🏾‍♀️	People & Body	person-sport	woman golfing: medium-dark skin tone	woman golfing: medium-dark skin tone
🏌🏿‍♀️	People & Body	person-sport	woman golfing: dark skin tone	woman golfing: dark skin tone
🏄	People & Body	person-sport	person surfing	person surfing,beach,ocean,person,sport,surf,surfer,surfing,swell,waves
🏄🏻	People & Body	person-sport	person surfing: light skin tone	person surfing: light skin tone
🏄🏼	People & Body	person-sport	person surfing: medium-light skin tone	person surfing: medium-light skin tone
